time,nfev,nact,nhooked,trials,try_last
0.0,1,0,0,0,0
0.01,1,0,0,0,0
0.02,1,0,0,0,0
0.03,1,0,0,0,0
0.04,1,0,0,0,0
0.05,2,1,0,1,1
0.060000000000000005,2,1,1,0,2
0.07,24,1,1,0,24
0.08,24,1,1,0,24
0.09,24,1,1,0,24
0.09999999999999999,1,1,1,0,1
0.10999999999999999,24,1,1,0,24
0.11999999999999998,1,1,1,0,1
0.12999999999999998,2,2,1,1,1
0.13999999999999999,2,2,2,0,2
0.15,2,2,2,0,2
0.16,13,2,2,0,13
0.17,46,2,2,0,46
0.18000000000000002,24,2,2,0,24
0.19000000000000003,13,2,2,0,13
0.20000000000000004,70,3,2,1,57
0.21000000000000005,2,3,3,0,2
0.22000000000000006,13,3,3,0,13
0.23000000000000007,13,3,3,0,13
0.24000000000000007,13,3,3,0,13
0.25000000000000006,35,3,3,0,35
0.26000000000000006,13,3,3,0,13
0.2700000000000001,4,4,3,1,2
0.2800000000000001,2,4,4,0,2
0.2900000000000001,48,4,4,0,48
0.3000000000000001,13,4,4,0,13
0.3100000000000001,13,4,4,0,13
0.3200000000000001,24,4,4,0,24
0.3300000000000001,13,4,4,0,13
0.34000000000000014,48,5,4,1,24
0.35000000000000014,2,5,5,0,2
0.36000000000000015,13,5,5,0,13
0.37000000000000016,13,5,5,0,13
0.38000000000000017,2,5,5,0,2
0.3900000000000002,2,5,5,0,2
0.4000000000000002,2,5,5,0,2
0.4100000000000002,2,5,5,0,2
0.4200000000000002,2,5,5,0,2
0.4300000000000002,4,6,5,1,2
0.4400000000000002,2,6,6,0,2
0.45000000000000023,2,6,6,0,2
0.46000000000000024,2,6,6,0,2
0.47000000000000025,2,6,6,0,2
0.48000000000000026,30,5,5,1,24
0.49000000000000027,2,5,5,0,2
0.5000000000000002,4,5,5,0,4
0.5100000000000002,12,4,4,1,4
0.5200000000000002,2,4,4,0,2
0.5300000000000002,13,4,4,0,13
0.5400000000000003,29,5,4,1,16
0.5500000000000003,5,5,5,0,5
0.5600000000000003,13,5,5,0,13
0.5700000000000003,29,4,4,1,24
0.5800000000000003,24,4,4,0,24
0.5900000000000003,57,4,4,0,57
0.6000000000000003,13,4,4,0,13
0.6100000000000003,5,4,4,0,5
0.6200000000000003,15,3,3,1,2
0.6300000000000003,1,3,3,0,1
0.6400000000000003,24,3,3,0,24
0.6500000000000004,13,3,3,0,13
0.6600000000000004,24,3,3,0,24
0.6700000000000004,24,3,3,0,24
0.6800000000000004,18,2,2,1,13
0.6900000000000004,1,2,2,0,1
0.7000000000000004,24,2,2,0,24
0.7100000000000004,24,2,2,0,24
0.7200000000000004,13,2,2,0,13
0.7300000000000004,24,2,2,0,24
0.7400000000000004,29,1,1,1,24
0.7500000000000004,1,1,1,0,1
0.7600000000000005,35,1,1,0,35
0.7700000000000005,13,1,1,0,13
0.7800000000000005,13,1,1,0,13
0.7900000000000005,24,1,1,0,24
0.8000000000000005,13,1,1,0,13
0.8100000000000005,13,1,1,0,13
0.8200000000000005,5,0,0,1,4
0.8300000000000005,1,0,0,0,4
0.8400000000000005,1,0,0,0,4
0.8500000000000005,1,0,0,0,4
0.8600000000000005,1,0,0,0,4
0.8700000000000006,1,0,0,0,4
0.8800000000000006,1,0,0,0,4
0.8900000000000006,1,0,0,0,4
0.9000000000000006,1,0,0,0,4
0.9100000000000006,1,0,0,0,4
0.9200000000000006,1,0,0,0,4
0.9300000000000006,1,0,0,0,4
0.9400000000000006,1,0,0,0,4
0.9500000000000006,1,0,0,0,4
0.9600000000000006,1,0,0,0,4
0.9700000000000006,1,0,0,0,4
0.9800000000000006,1,0,0,0,4
0.9900000000000007,1,0,0,0,4
