time,nfev,m,|dmdu|,E_int
0.0,18487,1.5994369473236584e-15,6.572263613658964e-09,1.5994369473236584e-15
0.02,18636,1.2197493554019373e-15,5.2209577326238146e-09,1.2197493554019373e-15
0.04,18707,6.487742043781252e-16,2.4597504526863824e-10,6.487742043781252e-16
0.06,18734,2.7383441067555026e-16,3.5560775274420325e-10,2.7383441067555026e-16
0.08,18877,4.5790709820916e-16,5.966111406340284e-09,4.5790709820916e-16
0.1,18664,5.327339311281426e-16,4.6063473660485425e-10,5.327339311281426e-16
0.12000000000000001,18477,5.197505094330908e-16,1.372815029653021e-09,5.197505094330908e-16
0.14,18067,1.0875918593744464e-15,9.448205904601138e-09,1.0875918593744464e-15
0.16,17805,3.0321980500390445e-15,4.0063587990118615e-09,3.0321980500390445e-15
0.18,18311,1.1593520276226436e-15,9.659894297902399e-10,1.1593520276226436e-15
0.19999999999999998,18637,2.89868003859699e-16,1.884618578319632e-09,2.89868003859699e-16
0.21999999999999997,18179,8.799425319851705e-16,2.226076742405352e-09,8.799425319851705e-16
0.23999999999999996,18582,6.438434286338406e-16,1.916628721085826e-10,6.438434286338406e-16
0.25999999999999995,18358,7.670889274232668e-16,2.4773647698592895e-10,7.670889274232668e-16
0.27999999999999997,18457,1.1560333826404265e-15,1.8226105090819003e-10,1.1560333826404265e-15
0.3,18366,9.90951629409302e-16,1.878390851180948e-09,9.90951629409302e-16
0.32,18902,2.026714282696126e-16,1.035199750164193e-09,2.026714282696126e-16
0.34,18753,4.451227187518529e-16,1.1057391141941293e-09,4.451227187518529e-16
0.36000000000000004,18108,8.288066258509165e-16,4.262215593658278e-10,8.288066258509165e-16
0.38000000000000006,17947,2.22166057131358e-15,6.183939883955746e-10,2.22166057131358e-15
0.4000000000000001,18547,2.8232569143498047e-16,2.7668410659974256e-09,2.8232569143498047e-16
0.4200000000000001,18260,9.728133000007511e-16,1.1254902449766245e-09,9.728133000007511e-16
0.4400000000000001,18004,9.207836157710174e-16,1.2021582957060035e-08,9.207836157710174e-16
0.46000000000000013,18370,8.594605005991316e-16,3.9271410872894e-09,8.594605005991316e-16
0.48000000000000015,18696,4.743094163959229e-16,2.750760451735799e-09,4.743094163959229e-16
0.5000000000000001,18319,5.29268260890509e-16,1.3273568715719217e-09,5.29268260890509e-16
0.5200000000000001,18469,6.821852526573751e-16,5.909904906620654e-10,6.821852526573751e-16
0.5400000000000001,19040,1.4821787774913912e-16,1.0627205114116134e-10,1.4821787774913912e-16
0.5600000000000002,17927,7.674792298018307e-16,6.410641519220978e-10,7.674792298018307e-16
0.5800000000000002,18414,7.703028470515225e-16,1.0267304949837609e-10,7.703028470515225e-16
0.6000000000000002,18372,2.096870459467217e-15,2.2019490737803503e-09,2.096870459467217e-15
0.6200000000000002,17864,9.519964656229667e-16,5.2372548183851464e-09,9.519964656229667e-16
0.6400000000000002,18576,1.2637299618436446e-15,7.963565872244434e-09,1.2637299618436446e-15
0.6600000000000003,18681,3.3048529295421416e-16,2.2353921937651566e-11,3.3048529295421416e-16
0.6800000000000003,18476,6.459566701756001e-16,1.0397627939571951e-10,6.459566701756001e-16
0.7000000000000003,18715,4.2456357283048005e-16,1.855930449851838e-10,4.2456357283048005e-16
0.7200000000000003,17917,1.4390265512148111e-15,2.3855086843791217e-09,1.4390265512148111e-15
0.7400000000000003,18382,9.185769502004249e-16,2.136243557803294e-09,9.185769502004249e-16
0.7600000000000003,18940,5.910997692913101e-16,9.033700071506282e-11,5.910997692913101e-16
0.7800000000000004,18320,9.600460578557392e-16,4.635545490617594e-09,9.600460578557392e-16
0.8000000000000004,18318,9.757708105574858e-16,2.3929498067696317e-09,9.757708105574858e-16
0.8200000000000004,18593,3.4388031921229144e-16,4.057380886085134e-09,3.4388031921229144e-16
0.8400000000000004,18290,7.330299162272622e-16,6.859200404377764e-09,7.330299162272622e-16
0.8600000000000004,18518,1.1016229964090194e-15,4.302430716565903e-09,1.1016229964090194e-15
0.8800000000000004,17884,1.0751816951024211e-15,1.923481826583861e-09,1.0751816951024211e-15
0.9000000000000005,18739,7.213887002831898e-16,3.6575222267482854e-09,7.213887002831898e-16
0.9200000000000005,18600,6.12835591357461e-16,3.318436002323148e-10,6.12835591357461e-16
0.9400000000000005,18527,6.540464916856527e-16,1.456181570296712e-09,6.540464916856527e-16
0.9600000000000005,18510,6.264725514421191e-16,3.187296939053287e-10,6.264725514421191e-16
0.9800000000000005,18735,3.531885505052711e-16,6.169317592739025e-11,3.531885505052711e-16
