time,nfev,m,|dmdu|,E_int
0.0,250,-0.003073143398346478,5.2372935055997155e-05,0.0010282488233217765
0.02,239,-0.007752914128073324,4.172582195035128e-05,0.0026016332137217143
0.04,258,-0.013326744779170209,5.032603495209171e-05,0.004484105022700558
0.06,485,-0.01957778291225478,3.0152354798222725e-05,0.006606121190756841
0.08,513,-0.026388764138385278,1.9779711397005176e-05,0.008928551855130628
0.1,459,-0.033684064033063614,1.969623741888564e-05,0.0114255249290204
0.12000000000000001,398,-0.041410022147897775,1.1127713374168394e-05,0.014078731882768453
0.14,440,-0.04952617509465947,3.7532712008790915e-05,0.01687365384593157
0.16,426,-0.058000502726044,3.646717424903792e-05,0.019798195041791828
0.18,384,-0.06680682473790661,6.110729081948573e-05,0.022839734786667506
0.19999999999999998,443,-0.07592321215259007,2.1497462144846098e-05,0.02598943083327543
0.21999999999999997,407,-0.08533066370768655,3.203928266817256e-05,0.029237064310157518
0.23999999999999996,406,-0.09501272184479191,3.4252995229609394e-05,0.03257383054463246
0.25999999999999995,378,-0.1049547596019709,1.2929430312443887e-05,0.03599107434259311
0.27999999999999997,371,-0.11514366953063856,1.7298880472213865e-05,0.03948078065419198
0.3,355,-0.12556755813556436,1.54706110457001e-05,0.043035096828423665
0.32,342,-0.13621556165115295,1.4040581349585182e-05,0.0466479642736453
0.34,345,-0.14707776757803415,3.335895361312774e-05,0.0503138646009046
0.36000000000000004,335,-0.15814508272543715,5.1720699972480314e-05,0.05402838735306869
0.38000000000000006,334,-0.16940915490575975,3.126368738756389e-05,0.057787384303556566
0.4000000000000001,323,-0.18086228932542245,2.807922960928998e-05,0.06158804394831532
0.4200000000000001,320,-0.19249741540790372,2.8392636681744498e-05,0.0654285017568141
0.4400000000000001,315,-0.2043080167080643,2.9535819128346286e-05,0.06930683755805835
0.46000000000000013,307,-0.21628809975608576,3.9755404052902466e-05,0.07322239469691982
0.48000000000000015,300,-0.2284321409453712,2.974633770225632e-05,0.07717519557891009
0.5000000000000001,294,-0.24073505359122066,4.050853517928311e-05,0.08116439622472542
0.5200000000000001,287,-0.25319214574573173,3.712047112791963e-05,0.08519137276982557
0.5400000000000001,286,-0.2657990864496433,3.5068712613780346e-05,0.08925474386348585
0.5600000000000002,285,-0.2785518820450292,3.177495078229784e-05,0.09335767260218648
0.5800000000000002,277,-0.2914468204334874,2.8161991244217767e-05,0.09749823374120731
0.6000000000000002,271,-0.30448047877939044,3.079855339058644e-05,0.10167939998031414
0.6200000000000002,262,-0.31764967092509033,3.833292851458027e-05,0.10589965916644037
0.6400000000000002,267,-0.3309514344247312,3.6164706889094895e-05,0.11016261653068071
0.6600000000000003,426,-0.34438295122301765,2.4784636483277533e-05,0.11446163289217379
0.6800000000000003,249,-0.3579414943077224,3.0995789068807836e-05,0.11880250264296419
0.7000000000000003,242,-0.3716246854800195,3.5779259473614155e-05,0.1231860965396686
0.7200000000000003,253,-0.3854302610201188,2.899637177816091e-05,0.12761352599221742
0.7400000000000003,250,-0.39935609863454846,4.485833857549063e-05,0.1320848662623519
0.7600000000000003,235,-0.4134002068570632,3.2957060099134094e-05,0.13660104816243518
0.7800000000000004,252,-0.42756069955576126,3.5615330363380997e-05,0.14116302714426876
0.8000000000000004,482,-0.44183586752183945,3.9739238549860556e-05,0.14577026319562925
0.8200000000000004,235,-0.4562239196103246,3.623998103729947e-05,0.15042319739525867
0.8400000000000004,223,-0.47072332381694826,3.797505113758614e-05,0.15512372896035123
0.8600000000000004,215,-0.4853325679593816,3.113454004052914e-05,0.15986933018222668
0.8800000000000004,221,-0.5000502282163923,3.679186427590128e-05,0.1646629647982598
0.9000000000000005,219,-0.5148749405189714,3.004368053057357e-05,0.1695046936343595
0.9200000000000005,217,-0.5298054123141429,3.5184709384487554e-05,0.1743920911095716
0.9400000000000005,219,-0.5448404040903433,3.3535724813598026e-05,0.17932735967924396
0.9600000000000005,230,-0.5599787413664736,4.3456566968839294e-05,0.18431284570957043
0.9800000000000005,693,-0.5752194140238491,4.8283088201993e-05,0.18934533072372822
