0.8862500000000001,0,0.001630648772300242,141: out
,"[54, 0, 0]","[0.036427490021980605, 4.967168779911532e-06]"
,"[55, 0, 0]","[0.03642749000372092, 3.433349884562569e-06]"
,"[56, 0, 0]","[0.036427489984654206, 6.699776604081879e-06]"
,"[57, 0, 0]","[0.03642748995822924, 9.28219836159743e-06]"
,"[58, 0, 0]","[0.036427489929006025, 8.155490347561343e-06]"
,"[59, 0, 0]","[0.036427489905762424, 4.159284162094926e-06]"
,"[60, 0, 0]","[0.03642748988757845, 3.967372637289364e-06]"
,"[61, 0, 0]","[0.03642748986572854, 7.616647000416029e-06]"
,"[62, 0, 0]","[0.036427489834904375, 1.0105361139649766e-05]"
,"[63, 0, 0]","[0.03642748980187193, 8.441961506539194e-06]"
,"[64, 0, 0]","[0.036427489776805974, 4.082819241258103e-06]"
,"[65, 0, 0]","[0.0364274897572396, 4.393614519930387e-06]"
,"[66, 0, 0]","[0.03642748973245964, 8.423012522407594e-06]"
,"[67, 0, 0]","[0.03642748969622964, 1.120856731254149e-05]"
,"[68, 0, 0]","[0.03642748965720675, 9.397353810449248e-06]"
,"[69, 0, 0]","[0.03642748962912559, 4.413787544399721e-06]"
,"[70, 0, 0]","[0.036427489609367876, 4.230750034835784e-06]"
,"[71, 0, 0]","[0.03642748958482029, 8.38371445360903e-06]"
,"[72, 0, 0]","[0.0364274895448722, 1.2133100264868935e-05]"
,"[73, 0, 0]","[0.036427489492990225, 1.1881871561402715e-05]"
,"[74, 0, 0]","[0.036427489445415295, 6.949936480142719e-06]"
,"[75, 0, 0]","[0.03642748940798144, 4.832738660274916e-06]"
,"[76, 0, 0]","[0.03642748936734274, 9.541945752876718e-06]"
,"[77, 0, 0]","[0.036427489308914665, 1.397014270128291e-05]"
,"[78, 0, 0]","[0.03642748923924583, 1.3409808869965748e-05]"
,"[79, 0, 0]","[0.036427489181706914, 7.48270599900963e-06]"
,"[80, 0, 0]","[0.036427489139948796, 5.184314575711875e-06]"
,"[81, 0, 0]","[0.03642748909212855, 1.069408920338443e-05]"
,"[82, 0, 0]","[0.036427489011448426, 1.7306607072645517e-05]"
,"[83, 0, 0]","[0.036427488893246485, 1.9765915061060797e-05]"
,"[84, 0, 0]","[0.03642748877286038, 1.4024662635899186e-05]"
,"[85, 0, 0]","[0.036427488686481393, 6.410809076095412e-06]"
,"[86, 0, 0]","[0.03642748861610097, 9.975595695412284e-06]"
,"[87, 0, 0]","[0.03642748852254169, 1.6869947210031355e-05]"
,"[88, 0, 0]","[0.036427488392034274, 1.9777525338874823e-05]"
,"[89, 0, 0]","[0.036427488258459144, 1.4510142672637122e-05]"
,"[90, 0, 0]","[0.0364274881575316, 7.061666088577977e-06]"
,"[91, 0, 0]","[0.036427488071955935, 1.0650659668254583e-05]"
,"[92, 0, 0]","[0.036427487960708445, 1.7666072191492557e-05]"
,"[93, 0, 0]","[0.03642748781224095, 2.0108540954189254e-05]"
,"[94, 0, 0]","[0.03642748766523433, 1.4238120325817428e-05]"
,"[95, 0, 0]","[0.0364274875519477, 7.481775091509673e-06]"
,"[96, 0, 0]","[0.03642748744825693, 1.2255777075434824e-05]"
,"[97, 0, 0]","[0.036427487312287794, 1.9354614554460067e-05]"
,"[98, 0, 0]","[0.03642748714807869, 2.0207135135364854e-05]"
,"[99, 0, 0]","[0.036427487011387275, 1.2403332330165279e-05]"
,"[100, 0, 0]","[0.03642748692242775, 6.624968063952638e-06]"
,"[101, 0, 0]","[0.036427486839975154, 1.2050637733289574e-05]"
,"[102, 0, 0]","[0.03642748671713493, 1.915897353396441e-05]"
,"[103, 0, 0]","[0.03642748655848003, 2.0454001639139993e-05]"
,"[104, 0, 0]","[0.03642748642458597, 1.2767078672013753e-05]"
,"[105, 0, 0]","[0.03642748634604804, 5.860221085936085e-06]"
,"[106, 0, 0]","[0.03642748628483189, 9.674523938681787e-06]"
,"[107, 0, 0]","[0.03642748619880182, 1.544507505524761e-05]"
,"[108, 0, 0]","[0.036427486087018006, 1.667252344718605e-05]"
,"[109, 0, 0]","[0.036427485988806796, 1.073778653124092e-05]"
,"[110, 0, 0]","[0.036427485925271556, 5.457016099303574e-06]"
,"[111, 0, 0]","[0.0364274858701192, 9.174168441373985e-06]"
,"[112, 0, 0]","[0.03642748579041917, 1.4720301012096765e-05]"
,"[113, 0, 0]","[0.03642748568721362, 1.5967819127734193e-05]"
,"[114, 0, 0]","[0.03642748560074813, 1.0150436215974654e-05]"
,"[115, 0, 0]","[0.03642748555236599, 4.512925372696784e-06]"
,"[116, 0, 0]","[0.03642748551767118, 6.834897331827287e-06]"
,"[117, 0, 0]","[0.036427485470638586, 1.0840087832160913e-05]"
,"[118, 0, 0]","[0.0364274854109909, 1.1598560375390213e-05]"
,"[119, 0, 0]","[0.0364274853613481, 7.315479845834229e-06]"
,"[120, 0, 0]","[0.03642748533175229, 3.6731222532252275e-06]"
,"[121, 0, 0]","[0.03642748530711229, 5.961354875418363e-06]"
,"[122, 0, 0]","[0.03642748527032443, 9.655322488068793e-06]"
,"[123, 0, 0]","[0.0364274852212113, 1.0743046252753174e-05]"
,"[124, 0, 0]","[0.03642748517920025, 7.067172575038031e-06]"
,"[125, 0, 0]","[0.0364274851564519, 3.0569712081128005e-06]"
,"[126, 0, 0]","[0.036427485141647814, 4.12697782532304e-06]"
,"[127, 0, 0]","[0.03642748512236025, 6.580091221645218e-06]"
,"[128, 0, 0]","[0.03642748509756042, 7.204341916602616e-06]"
