0.8862500000000001,0,0.001630648772300242,141: out
,"[14, 0, 0]","[0.036427484380239634, 7.085679512329809e-06]"
,"[15, 0, 0]","[0.036427484380317905, 8.81379827294938e-06]"
,"[15, 0, 0]","[0.036427484380317905, 8.81379827294938e-06]"
,"[16, 0, 0]","[0.03642748437521023, 2.6337422931411444e-06]"
,"[17, 0, 0]","[0.03642748436978119, 2.813037700736211e-06]"
,"[18, 0, 0]","[0.03642748437504105, 8.142210529306883e-06]"
,"[18, 0, 0]","[0.03642748437504105, 8.142210529306883e-06]"
,"[19, 0, 0]","[0.03642748436799682, 1.1857856269166274e-06]"
,"[20, 0, 0]","[0.03642748436660454, 1.2403872362572624e-06]"
,"[21, 0, 0]","[0.03642748436391094, 2.7491377714630932e-06]"
,"[22, 0, 0]","[0.03642748436213689, 3.6251992126707863e-06]"
,"[23, 0, 0]","[0.03642748436313862, 4.755705918963784e-06]"
,"[23, 0, 0]","[0.03642748436313862, 4.755705918963784e-06]"
,"[24, 0, 0]","[0.03642748435928356, 1.1773052080077463e-06]"
,"[25, 0, 0]","[0.03642748435643906, 2.4957815051107864e-06]"
,"[26, 0, 0]","[0.03642748435437194, 3.3486348421059265e-06]"
,"[27, 0, 0]","[0.036427484351335665, 3.219661742671227e-06]"
,"[28, 0, 0]","[0.03642748435379259, 6.404726447333391e-06]"
,"[28, 0, 0]","[0.03642748435379259, 6.404726447333391e-06]"
,"[29, 0, 0]","[0.0364274843486637, 9.63247082958404e-07]"
,"[30, 0, 0]","[0.036427484347000556, 1.9003841907842971e-06]"
,"[31, 0, 0]","[0.03642748434424765, 3.791271117578788e-06]"
,"[32, 0, 0]","[0.036427484344894887, 8.199146061064835e-06]"
,"[32, 0, 0]","[0.036427484344894887, 8.199146061064835e-06]"
,"[33, 0, 0]","[0.03642748433863311, 3.867813418078148e-06]"
,"[34, 0, 0]","[0.036427484335694725, 1.8602312117720382e-06]"
,"[35, 0, 0]","[0.036427484332525045, 2.424415401114823e-06]"
,"[36, 0, 0]","[0.03642748432973446, 3.843252298227039e-06]"
,"[37, 0, 0]","[0.03642748432371154, 5.0816743266023914e-06]"
,"[38, 0, 0]","[0.03642748431837516, 3.934212830730942e-06]"
,"[39, 0, 0]","[0.036427484314067456, 1.6463377262349507e-06]"
,"[40, 0, 0]","[0.03642748431030946, 2.536530805536517e-06]"
,"[41, 0, 0]","[0.036427484304372204, 5.2865961867339615e-06]"
,"[42, 0, 0]","[0.03642748429497105, 7.366207103718648e-06]"
,"[43, 0, 0]","[0.036427484283779614, 6.6038978913377185e-06]"
,"[44, 0, 0]","[0.03642748427510688, 3.159734299798185e-06]"
,"[45, 0, 0]","[0.036427484268987426, 2.2937123333373668e-06]"
,"[46, 0, 0]","[0.036427484261791106, 5.3441487867229536e-06]"
,"[47, 0, 0]","[0.03642748424971938, 8.439434873899183e-06]"
,"[48, 0, 0]","[0.03642748423271409, 9.091532046063365e-06]"
,"[49, 0, 0]","[0.036427484215436, 5.86870680251375e-06]"
,"[50, 0, 0]","[0.03642748420097642, 2.816192349293975e-06]"
,"[51, 0, 0]","[0.03642748418471778, 6.8002534046859865e-06]"
,"[52, 0, 0]","[0.03642748415710149, 1.2696660809289856e-05]"
,"[53, 0, 0]","[0.036427484110321304, 1.712007378650899e-05]"
,"[54, 0, 0]","[0.036427484048857504, 1.5667740957913072e-05]"
,"[55, 0, 0]","[0.03642748399037232, 8.125012200185994e-06]"
,"[56, 0, 0]","[0.036427483936770096, 7.311754575073974e-06]"
,"[57, 0, 0]","[0.03642748386145225, 1.7965279300978573e-05]"
,"[58, 0, 0]","[0.036427483710769766, 3.256051928417503e-05]"
,"[59, 0, 0]","[0.03642748339483527, 4.917574837339649e-05]"
,"[60, 0, 0]","[0.03642748271787773, 7.050354898850425e-05]"
,"[61, 0, 0]","[0.03642748100720305, 0.00021642684652447953]"
,"[62, 0, 0]","[0.036427487779775565, 0.0010594417578364658]"
,"[62, 0, 0]","[0.036427487779775565, 0.0010594417578364658]"
,"[63, 0, 0]","[0.036427472427399694, 0.0005723749152548813]"
,"[63, 0, 0]","[0.03642746638128232, 0.0005723749152548813]"
,"[64, 0, 0]","[0.03642892475260245, 0.009533343368410255]"
,"[64, 0, 0]","[0.03642892475260245, 0.009533343368410255]"
,"[64, 0, 1]","[0.03642751363471479, 0.003152076300402795]"
,"[65, 0, 0]","[0.03642741974718369, 0.0018118711012024633]"
,"[66, 0, 0]","[0.036427294088941, 0.0010849908061894965]"
,"[67, 0, 0]","[0.03643259521726165, 0.017502060872652467]"
,"[67, 0, 0]","[0.03643259521726165, 0.017502060872652467]"
,"[67, 0, 1]","[0.03642756791667625, 0.007024926122033883]"
,"[68, 0, 0]","[0.03642647376687371, 0.003926460218208598]"
,"[69, 0, 0]","[0.03652773967831939, 0.07311195210685745]"
,"[69, 0, 0]","[0.03652773967831939, 0.07311195210685745]"
,"[69, 0, 1]","[0.036429845271759645, 0.021334670049596934]"
,"[70, 0, 0]","[0.03643235899866679, 0.027873224323865225]"
,"[70, 0, 0]","[0.03643235899866679, 0.027873224323865225]"
,"[71, 0, 0]","[0.03642516650238784, 0.010778146657795987]"
,"[71, 0, 0]","[0.03642516650238784, 0.010778146657795987]"
,"[72, 0, 0]","[0.03641226600984155, 0.011962742109711941]"
,"[73, 0, 0]","[0.03641373759712237, 0.03446174500547063]"
,"[73, 0, 0]","[0.03641373759712237, 0.03446174500547063]"
,"[74, 0, 0]","[0.036405714291818214, 0.00815351457981376]"
,"[75, 0, 0]","[0.03639036466159611, 0.01969422901489134]"
,"[76, 0, 0]","[0.036431458631372336, 0.05532138940638063]"
,"[76, 0, 0]","[0.036431458631372336, 0.05532138940638063]"
,"[77, 0, 0]","[0.036378102766884066, 0.016314581492699414]"
,"[78, 0, 0]","[0.03644410235562314, 0.04742560370958477]"
,"[78, 0, 0]","[0.03644410235562314, 0.04742560370958477]"
,"[78, 0, 1]","[0.036386285759339845, 0.02469965821835421]"
,"[79, 0, 0]","[0.03679801293503323, 0.059427287595372774]"
,"[79, 0, 0]","[0.03679801293503323, 0.059427287595372774]"
,"[79, 0, 1]","[0.036487461819929436, 0.030029740313252125]"
,"[79, 0, 2]","[0.036409331575819916, 0.0215878517611468]"
,"[79, 0, 3]","[0.036387562237794074, 0.01877860470001515]"
,"[79, 0, 4]","[0.036381025818264245, 0.018259011066975094]"
,"[79, 0, 5]","[0.03637880493173933, 0.01820102162147989]"
,"[79, 0, 6]","[0.03637880493173933, 0.01820102162147989]"
,"[79, 0, 7]","[0.03637835842554879, 0.01820837591855194]"
,"[79, 0, 8]","[0.0363781514641169, 0.01821536799165672]"
,"[79, 0, 9]","[0.0363781514641169, 0.01821536799165672]"
,"[79, 0, 10]","[0.0363781514641169, 0.01821536799165672]"
,"[79, 0, 11]","[0.03637812635744832, 0.018216397787062365]"
,"[79, 0, 12]","[0.036378113867735234, 0.018216925678683604]"
,"[79, 0, 13]","[0.03637810763878378, 0.018217192873473585]"
,"[79, 0, 14]","[0.03637810452828426, 0.018217327283212993]"
,"[79, 0, 15]","[0.03637810297402861, 0.01821739469116343]"
,"[79, 0, 16]","[0.03637810297402861, 0.01821739469116343]"
,"[79, 0, 17]","[0.036378102585568214, 0.018217411564299894]"
,"[79, 0, 18]","[0.036378102585568214, 0.018217411564299894]"
,"[79, 0, 19]","[0.036378102585568214, 0.018217411564299894]"
,"[79, 0, 20]","[0.03637810253701362, 0.018217413674045765]"
,"[79, 0, 21]","[0.03637810253701362, 0.018217413674045765]"
,"[79, 0, 22]","[0.03637810252487504, 0.018217414201517484]"
,"[79, 0, 23]","[0.03637810251880574, 0.018217414465212467]"
,"[79, 0, 24]","[0.03637810251577114, 0.01821741459709675]"
,"[79, 0, 25]","[0.03637810251577114, 0.01821741459709675]"
,"[79, 0, 26]","[0.0363781025150125, 0.01821741463007356]"
,"[79, 0, 27]","[0.036378102514633144, 0.018217414646504244]"
,"[79, 0, 28]","[0.036378102514633144, 0.018217414646504244]"
,"[79, 0, 29]","[0.036378102514633144, 0.018217414646504244]"
,"[79, 0, 30]","[0.036378102514633144, 0.018217414646504244]"
,"[79, 0, 31]","[0.036378102514609434, 0.018217414647574846]"
,"[79, 0, 32]","[0.03637810251459759, 0.018217414648101164]"
,"[79, 0, 33]","[0.03637810251459164, 0.018217414648322147]"
,"[79, 0, 34]","[0.03637810251458872, 0.01821741464847508]"
0.8861328125000001,0,nan,0: out,45: 37-->36,140: out
,,RedoAct,IN,OUT,32
0.8861328125000001,"[0, 0, 0]","[0.036370834707859505, 0.01704010940331722]",0: out,45: 37-->36,140: out
,"[1, 0, 0]","[0.03935097820343594, 0.39680386880095003]"
,"[1, 0, 0]","[0.03935097820343594, 0.39680386880095003]"
,"[1, 0, 1]","[0.03704329017303068, 0.19055661542861094]"
,"[1, 0, 2]","[0.03650265426685083, 0.08752484002597528]"
,"[1, 0, 3]","[0.03638564193402738, 0.03626699860144305]"
,"[2, 0, 0]","[0.0366656362889158, 0.10213978459808715]"
,"[2, 0, 0]","[0.0366656362889158, 0.10213978459808715]"
,"[2, 0, 1]","[0.036428686205487885, 0.04676024646666902]"
,"[2, 0, 2]","[0.03637535966451423, 0.01968645914709723]"
,"[3, 0, 0]","[0.03639140005372874, 0.04769712166556594]"
,"[3, 0, 0]","[0.03639140005372874, 0.04769712166556594]"
,"[3, 0, 1]","[0.036369218673855896, 0.022946027163436085]"
,"[4, 0, 0]","[0.03642760719368152, 0.047371941380043275]"
,"[4, 0, 0]","[0.03642760719368152, 0.047371941380043275]"
,"[4, 0, 1]","[0.03637217965774263, 0.019939569756320965]"
,"[5, 0, 0]","[0.03647268584667356, 0.06791560666537466]"
,"[5, 0, 0]","[0.03647268584667356, 0.06791560666537466]"
,"[5, 0, 1]","[0.03638322397854944, 0.032033033806749066]"
,"[5, 0, 2]","[0.03636427208941576, 0.01479505409263251]"
,"[6, 0, 0]","[0.036380982272248105, 0.02085455539121997]"
,"[6, 0, 0]","[0.036380982272248105, 0.02085455539121997]"
,"[6, 0, 1]","[0.036361517018123846, 0.010850549925450934]"
,"[7, 0, 0]","[0.03635744744259768, 0.008217921357714214]"
,"[8, 0, 0]","[0.036364475080956686, 0.024190710672260078]"
,"[8, 0, 0]","[0.036364475080956686, 0.024190710672260078]"
,"[9, 0, 0]","[0.036345634355742264, 0.004983330173115484]"
,"[10, 0, 0]","[0.0363730260715405, 0.02653530130028285]"
,"[10, 0, 0]","[0.0363730260715405, 0.02653530130028285]"
,"[10, 0, 1]","[0.036345216054949794, 0.011097035525103886]"
,"[11, 0, 0]","[0.036336869968438865, 0.0052492017000214854]"
,"[12, 0, 0]","[0.03636666058651834, 0.023936864108417267]"
,"[12, 0, 0]","[0.03636666058651834, 0.023936864108417267]"
,"[12, 0, 1]","[0.03634082551244234, 0.011163429631271066]"
,"[13, 0, 0]","[0.03633241680281699, 0.0022636047688821986]"
,"[14, 0, 0]","[0.036326576084429005, 0.006946369521670216]"
,"[15, 0, 0]","[0.03632923940186816, 0.013744462782462287]"
,"[15, 0, 0]","[0.03632923940186816, 0.013744462782462287]"
,"[16, 0, 0]","[0.03631743134438027, 0.00463505314596756]"
,"[17, 0, 0]","[0.03631248648518393, 0.002957801249426821]"
,"[18, 0, 0]","[0.03631102374945716, 0.005078869229319627]"
,"[19, 0, 0]","[0.036305683881948554, 0.007407816372617259]"
,"[20, 0, 0]","[0.0362995461120421, 0.00590368588678423]"
,"[21, 0, 0]","[0.036292525599587636, 0.0025798226304499213]"
,"[22, 0, 0]","[0.03628992209693661, 0.007973421663454302]"
,"[23, 0, 0]","[0.036283274357535665, 0.006971566939973046]"
,"[24, 0, 0]","[0.036263413872394366, 0.008839029827158121]"
,"[25, 0, 0]","[0.03626024353069322, 0.008399130544544725]"
,"[26, 0, 0]","[0.03625448585122246, 0.004733354539014472]"
,"[27, 0, 0]","[0.03624888781533883, 0.008476761785163623]"
,"[28, 0, 0]","[0.03623480635617748, 0.008582358116395265]"
,"[29, 0, 0]","[0.03622978724924145, 0.006161007995849779]"
,"[30, 0, 0]","[0.03622132007212758, 0.0022218699541747835]"
,"[31, 0, 0]","[0.03621320904611464, 0.006503765983460956]"
,"[32, 0, 0]","[0.036207140098867836, 0.01725731353383839]"
,"[33, 0, 0]","[0.03619914841589843, 0.013313207630506835]"
,"[34, 0, 0]","[0.03619101323254744, 0.010357460688293617]"
,"[35, 0, 0]","[0.03620751008637518, 0.012008939773163007]"
,"[35, 0, 0]","[0.03620751008637518, 0.012008939773163007]"
,"[35, 0, 1]","[0.03619340372401938, 0.011134135225962747]"
,"[36, 0, 0]","[0.036368317037705114, 0.00934670608416344]"
,"[36, 0, 0]","[0.036368317037705114, 0.00934670608416344]"
,"[36, 0, 1]","[0.036238199013012305, 0.009782213935823385]"
,"[36, 0, 2]","[0.03620413897951559, 0.010201428663515467]"
,"[36, 0, 3]","[0.03619485826727532, 0.01045360055852607]"
,"[36, 0, 4]","[0.03619215530450216, 0.010589652065658697]"
,"[36, 0, 5]","[0.036191288187533165, 0.010660104581306291]"
,"[36, 0, 6]","[0.036191288187533165, 0.010660104581306291]"
,"[36, 0, 7]","[0.036191121863875395, 0.010677967824981548]"
,"[36, 0, 8]","[0.0361910462704503, 0.010686936807529033]"
,"[36, 0, 9]","[0.0361910462704503, 0.010686936807529033]"
,"[36, 0, 10]","[0.03619102816047147, 0.010689182940240549]"
,"[36, 0, 11]","[0.03619101922373883, 0.01069030658938676]"
,"[36, 0, 12]","[0.036191014784936734, 0.010690868559637157]"
,"[36, 0, 13]","[0.036191014784936734, 0.010690868559637157]"
,"[36, 0, 14]","[0.03619101367831581, 0.010691009067364463]"
,"[36, 0, 15]","[0.036191013125467304, 0.010691079323490612]"
,"[36, 0, 16]","[0.036191013125467304, 0.010691079323490612]"
,"[36, 0, 17]","[0.036191013125467304, 0.010691079323490612]"
,"[36, 0, 18]","[0.036191013125467304, 0.010691079323490612]"
,"[36, 0, 19]","[0.036191013125467304, 0.010691079323490612]"
,"[36, 0, 20]","[0.03619101310819573, 0.010691081518987273]"
,"[36, 0, 21]","[0.036191013099560056, 0.010691082616772306]"
,"[36, 0, 22]","[0.036191013099560056, 0.010691082616772306]"
,"[36, 0, 23]","[0.03619101309740118, 0.010691082891213101]"
,"[36, 0, 24]","[0.0361910130963217, 0.010691083028442364]"
,"[36, 0, 25]","[0.036191013095781974, 0.010691083097064924]"
,"[36, 0, 26]","[0.036191013095781974, 0.010691083097064924]"
,"[36, 0, 27]","[0.03619101309564707, 0.010691083114194493]"
,"[36, 0, 28]","[0.03619101309557957, 0.010691083122795219]"
,"[36, 0, 29]","[0.036191013095545864, 0.010691083127057039]"
,"[36, 0, 30]","[0.036191013095545864, 0.010691083127057039]"
,"[36, 0, 31]","[0.036191013095545864, 0.010691083127057039]"
,"[36, 0, 32]","[0.036191013095545864, 0.010691083127057039]"
,"[36, 0, 33]","[0.03619101309554376, 0.010691083127322346]"
,"[36, 0, 34]","[0.03619101309554265, 0.010691083127494694]"
0.8861328125000001,0,nan,4: 44-->45,28: 3-->44out,44: 36-->64,45: 36-->37out,46: 40-->41out,47: 40-->41,136: 15-->33,137: 11-->37out,138: 7-->40out,139: 3-->41out
,,RedoAct,IN,32,3,36,7,11,15,OUT,64,33,37,41,45
0.8861328125000001,"[0, 0, 0]","[0.06380677459850047, 0.5258712780216792]",4: 44-->45,28: 3-->44out,44: 36-->64,45: 36-->37out,46: 40-->41out,47: 40-->41,136: 15-->33,137: 11-->37out,138: 7-->40out,139: 3-->41out
,"[1, 0, 0]","[0.48102875493482344, 2.1219999657032766]"
,"[1, 0, 0]","[0.48102875493482344, 2.1219999657032766]"
,"[1, 0, 1]","[0.09893956765139902, 0.7989486723313821]"
,"[2, 0, 0]","[0.055818348471283245, 1.0860410486617087]"
,"[2, 0, 0]","[0.055818348471283245, 1.0860410486617087]"
,"[2, 0, 1]","[0.04121700954150719, 0.52385168428264]"
,"[2, 0, 2]","[0.03819262408927281, 0.256777944699067]"
,"[3, 0, 0]","[0.04765839439211472, 0.5390155206829896]"
,"[3, 0, 0]","[0.04765839439211472, 0.5390155206829896]"
,"[3, 0, 1]","[0.037663482391652535, 0.22386081470049987]"
,"[4, 0, 0]","[0.17069386452424157, 3.068867917226053]"
,"[4, 0, 0]","[0.17069386452424157, 3.068867917226053]"
,"[4, 0, 1]","[0.06759015147063915, 1.4893286641524464]"
,"[4, 0, 2]","[0.043022608418550115, 0.6999043564941041]"
,"[4, 0, 3]","[0.037485466259783516, 0.30624442517354955]"
,"[5, 0, 0]","[0.04275073844804292, 0.382694940738322]"
,"[5, 0, 0]","[0.04275073844804292, 0.382694940738322]"
,"[5, 0, 1]","[0.03755454329037833, 0.1627062959455418]"
,"[5, 0, 2]","[0.036473445255865426, 0.07961383006871105]"
,"[6, 0, 0]","[0.036689301931293515, 0.14080229337354572]"
,"[6, 0, 0]","[0.036689301931293515, 0.14080229337354572]"
,"[6, 0, 1]","[0.03633452008198118, 0.0732227143703761]"
,"[7, 0, 0]","[0.03740402859378743, 0.26005757350701997]"
,"[7, 0, 0]","[0.03740402859378743, 0.26005757350701997]"
,"[7, 0, 1]","[0.03637665632833314, 0.09924140191409578]"
,"[8, 0, 0]","[0.03629777745147274, 0.0487140077847369]"
,"[8, 0, 0]","[0.03629777745147274, 0.0487140077847369]"
,"[8, 0, 1]","[0.03622609640157692, 0.025252945605373705]"
,"[9, 0, 0]","[0.036204239298194295, 0.01010534402091506]"
,"[10, 0, 0]","[0.03620195147152101, 0.0057774741110588985]"
,"[11, 0, 0]","[0.03621395538364649, 0.03348712019340255]"
,"[11, 0, 0]","[0.03621395538364649, 0.03348712019340255]"
,"[12, 0, 0]","[0.036206300916837575, 0.021445812325174653]"
,"[12, 0, 0]","[0.036206300916837575, 0.021445812325174653]"
,"[13, 0, 0]","[0.036186844011108804, 0.0043202740831408855]"
,"[14, 0, 0]","[0.03617916507421331, 0.00446844604960547]"
,"[15, 0, 0]","[0.03617639061696111, 0.006884983533898437]"
,"[16, 0, 0]","[0.036175287554402025, 0.006283322444141246]"
,"[17, 0, 0]","[0.03616822334509713, 0.00184254295990093]"
,"[18, 0, 0]","[0.03616492832776278, 0.0013681544312967395]"
,"[19, 0, 0]","[0.0361544097302732, 0.004352285348618153]"
,"[20, 0, 0]","[0.036161854668822505, 0.012339306132164895]"
,"[20, 0, 0]","[0.036161854668822505, 0.012339306132164895]"
,"[21, 0, 0]","[0.036145108162080546, 0.002808371071406705]"
,"[22, 0, 0]","[0.036139988742281116, 0.002181205299101982]"
,"[23, 0, 0]","[0.03613345465502971, 0.004205724586967793]"
,"[24, 0, 0]","[0.036135705780692674, 0.011834715994376677]"
,"[24, 0, 0]","[0.036135705780692674, 0.011834715994376677]"
,"[25, 0, 0]","[0.036120217268604864, 0.004880833706826359]"
,"[26, 0, 0]","[0.036112710849765105, 0.0029243652534994232]"
,"[27, 0, 0]","[0.03610486976525346, 0.003023893671354026]"
,"[28, 0, 0]","[0.03609736083387166, 0.00454769978389125]"
,"[29, 0, 0]","[0.03608291458199457, 0.006100328878439916]"
,"[30, 0, 0]","[0.03606920229686027, 0.009023781580601707]"
,"[31, 0, 0]","[0.03607097614443891, 0.008765608796544984]"
,"[31, 0, 0]","[0.03607097614443891, 0.008765608796544984]"
,"[32, 0, 0]","[0.03607206552350908, 0.008012844026094769]"
,"[32, 0, 0]","[0.03607206552350908, 0.008012844026094769]"
,"[33, 0, 0]","[0.036144864299706064, 0.009946376960062195]"
,"[33, 0, 0]","[0.036144864299706064, 0.009946376960062195]"
,"[33, 0, 1]","[0.03608815736218251, 0.008250348884600762]"
,"[33, 0, 2]","[0.03607208211330529, 0.00785945225485049]"
,"[33, 0, 3]","[0.03607208211330529, 0.00785945225485049]"
,"[33, 0, 4]","[0.03606934497184168, 0.007821728778368457]"
,"[33, 0, 5]","[0.03606934497184168, 0.007821728778368457]"
,"[34, 0, 0]","[0.036341701755730864, 0.012012684057442236]"
,"[34, 0, 0]","[0.036341701755730864, 0.012012684057442236]"
,"[34, 0, 1]","[0.03616122752904095, 0.04837190540972807]"
,"[34, 0, 2]","[0.03610417071980501, 0.008142716226165535]"
,"[34, 0, 3]","[0.03608528102211571, 0.007894419064461918]"
,"[34, 0, 4]","[0.0360782496819069, 0.007832436164748362]"
,"[34, 0, 5]","[0.0360753380165746, 0.007818448225389612]"
,"[34, 0, 6]","[0.03607403327293664, 0.007815878094278557]"
,"[34, 0, 7]","[0.036073418684943466, 0.007815719528757686]"
,"[34, 0, 8]","[0.036073120838386416, 0.007815924356662514]"
,"[34, 0, 9]","[0.03607297427715549, 0.007816098103447109]"
,"[34, 0, 10]","[0.03607290158707548, 0.007816202847834595]"
,"[34, 0, 11]","[0.03607286538967233, 0.007816259692470441]"
,"[34, 0, 12]","[0.03607284732788029, 0.007816289233492577]"
,"[34, 0, 13]","[0.036072838306211774, 0.007816304283742186]"
,"[34, 0, 14]","[0.03607283379768431, 0.007816311878830274]"
,"[34, 0, 15]","[0.03607283154399731, 0.007816315693846396]"
,"[34, 0, 16]","[0.036072830417298044, 0.007816317605729421]"
,"[34, 0, 17]","[0.03607282985398439, 0.007816318562763828]"
,"[34, 0, 18]","[0.0360728295723366, 0.007816319041561512]"
,"[34, 0, 19]","[0.036072829431514956, 0.00781631928102184]"
,"[34, 0, 20]","[0.03607282936110471, 0.007816319400770582]"
,"[34, 0, 21]","[0.036072829325899676, 0.00781631946065092]"
,"[34, 0, 22]","[0.03607282930829726, 0.007816319490586395]"
,"[34, 0, 23]","[0.03607282929949605, 0.007816319505561395]"
,"[34, 0, 24]","[0.03607282929509543, 0.007816319513041578]"
,"[34, 0, 25]","[0.036072829292895146, 0.007816319516783441]"
,"[34, 0, 26]","[0.03607282929179499, 0.007816319518658577]"
,"[34, 0, 27]","[0.03607282929124489, 0.007816319519593927]"
,"[34, 0, 28]","[0.03607282929096993, 0.00781631952005317]"
,"[34, 0, 29]","[0.03607282929083235, 0.007816319520291437]"
,"[34, 0, 30]","[0.036072829290763574, 0.007816319520415508]"
,"[34, 0, 31]","[0.03607282929072924, 0.00781631952046059]"
,"[34, 0, 32]","[0.03607282929071199, 0.00781631952050485]"
,"[34, 0, 33]","[0.03607282929070339, 0.007816319520514597]"
,"[34, 0, 34]","[0.03607282929069909, 0.007816319520531117]"
0.8861328125000001,0,0.8653426201534231,28: out,44: 33-->37out,45: out,47: 40-->44,136: out,137: out,138: out,139: out
,1,0.12560433074247696,0: out
,2,0.754670763930942,4: out,28: out,44: 37-->36out,45: out,137: out
,3,0.4785830430983946,0: out,44: 36-->32
,4,2.6066517984715016,0: out,4: out,28: 3-->2out,44: out,45: out,47: 44-->40,136: out,137: out,138: out,139: out
,5,0.28139931984170397,137: out
,6,11.50827713846478,0: 32-->14,28: out,44: 32-->15,45: out,136: 15-->10out,137: out,138: out
,7,0.22991057795803094,136: out,137: out
,8,1.3459066204105892,0: out,4: out,28: out,44: 15-->32,45: out,47: 40-->44,136: 10-->11out,138: out
,9,0.0039923214345574665
,10,1.241328940455991,0: 14-->15out,45: out,136: out,137: out
,11,0.0009413255469417932,0: out
,12,0.0820872930449321,136: out
,13,0.0022588222604288523,0: out
,14,0.0016965506727483729,0: out
,15,0.00020813241123038807,0: out
,16,1.800521000009259e-05,0: out
,17,1.715254518022284e-08,0: out
,18,1.128089297620428e-13,0: out
,,RedoAct,IN,OUT,15
0.8861328125000001,"[0, 0, 0]","[0.03325528133850153, 0.0007574073687563101]",0: out
,"[1, 0, 0]","[0.03325470960569486, 0.0007523216849381316]"
,"[1, 0, 0]","[0.03325414173945453, 0.0007523216849381316]"
,"[1, 1, 0]","[0.0332530176086865, 0.0007472738615248724]"
,"[1, 2, 0]","[0.033250815768135294, 0.000737295168126976]"
,"[1, 3, 0]","[0.033246597884624154, 0.0007178301563857829]"
,"[2, 0, 0]","[0.0332125832178422, 0.001956634134935629]"
,"[3, 0, 0]","[0.03322433041500389, 0.016108263122195855]"
,"[3, 0, 0]","[0.03322433041500389, 0.016108263122195855]"
,"[3, 0, 1]","[0.03321457526334999, 0.007217894590571007]"
,"[3, 0, 2]","[0.033212608857739, 0.002841642344460934]"
,"[4, 0, 0]","[0.03321381018549036, 0.0092718363716383]"
,"[4, 0, 0]","[0.03321381018549036, 0.0092718363716383]"
,"[4, 0, 1]","[0.03321248620105183, 0.0044462290593595315]"
,"[5, 0, 0]","[0.03320984144134715, 0.0016593398189698406]"
,"[6, 0, 0]","[0.03373443724544993, 0.20166758339511043]"
,"[6, 0, 0]","[0.03373443724544993, 0.20166758339511043]"
,"[6, 0, 1]","[0.03333015915230884, 0.10033499485527239]"
,"[6, 0, 2]","[0.033234550760623774, 0.04968682361521196]"
,"[6, 0, 3]","[0.03321333921427845, 0.024379620854136485]"
,"[7, 0, 0]","[0.033203516778203185, 0.004704729624443616]"
,"[8, 0, 0]","[0.0332282740825179, 0.025634408885397034]"
,"[8, 0, 0]","[0.0332282740825179, 0.025634408885397034]"
,"[8, 0, 1]","[0.03320767144559958, 0.011633984599957788]"
,"[8, 0, 2]","[0.0332035380885125, 0.005260244171731544]"
,"[9, 0, 0]","[0.03320148470357178, 0.0011617899253009223]"
,"[10, 0, 0]","[0.03320173212202437, 0.007595342396145095]"
,"[10, 0, 0]","[0.03320173212202437, 0.007595342396145095]"
,"[11, 0, 0]","[0.03320037830759853, 0.005300451829450888]"
,"[12, 0, 0]","[0.03319808201419268, 0.004354588091910887]"
,"[13, 0, 0]","[0.03322839476938506, 0.022030716994800956]"
,"[13, 0, 0]","[0.03322839476938506, 0.022030716994800956]"
,"[13, 0, 1]","[0.033202215818520786, 0.008942996030169634]"
,"[14, 0, 0]","[0.033196317939910513, 0.0005254188200169615]"
,"[15, 0, 0]","[0.03319580157997674, 0.0007518069866796793]"
,"[16, 0, 0]","[0.03319500585829975, 0.001080927568945429]"
,"[17, 0, 0]","[0.033194270908741906, 0.0015741770660119337]"
,"[18, 0, 0]","[0.03319503505403395, 0.003505857887060809]"
,"[18, 0, 0]","[0.03319503505403395, 0.003505857887060809]"
,"[19, 0, 0]","[0.03319338147602869, 0.0016921370541654575]"
,"[20, 0, 0]","[0.03319409076231856, 0.003801377904084653]"
,"[20, 0, 0]","[0.03319409076231856, 0.003801377904084653]"
,"[21, 0, 0]","[0.033192491209548494, 0.0007139013766904489]"
,"[22, 0, 0]","[0.033191573290121325, 0.0012650168919751128]"
,"[23, 0, 0]","[0.03319091704866358, 0.0019891958811365635]"
,"[24, 0, 0]","[0.03319163217229707, 0.0036898849243580576]"
,"[24, 0, 0]","[0.03319163217229707, 0.0036898849243580576]"
,"[25, 0, 0]","[0.03319009772481629, 0.0007981180878726444]"
,"[26, 0, 0]","[0.033189773079568344, 0.0006373949232033862]"
,"[27, 0, 0]","[0.03318945622514373, 0.001197482060015674]"
,"[28, 0, 0]","[0.033189033683632345, 0.001584111290704029]"
,"[29, 0, 0]","[0.03318947306486, 0.002818646415192308]"
,"[29, 0, 0]","[0.03318947306486, 0.002818646415192308]"
,"[30, 0, 0]","[0.03318853744756932, 0.0006323982466644913]"
,"[31, 0, 0]","[0.033188266310058834, 0.0006336939279829724]"
,"[32, 0, 0]","[0.0331879647922602, 0.0012705810680795654]"
,"[33, 0, 0]","[0.0331874891135706, 0.0017109308843108872]"
,"[34, 0, 0]","[0.03318704235226944, 0.001358521627224763]"
,"[35, 0, 0]","[0.033186737759144457, 0.000530219433832827]"
,"[36, 0, 0]","[0.03318652447326657, 0.0005536151749749407]"
,"[37, 0, 0]","[0.033186260584187714, 0.0011574747557057893]"
,"[38, 0, 0]","[0.03318590433942993, 0.0014426998639900115]"
,"[39, 0, 0]","[0.03318557050783625, 0.001040796925250954]"
