Model,Layers,Neurons per Layer,Final Training Loss,Final Validation Loss,Final Training MAE,Final Validation MAE,Total Parameters
1_layers_16_neurons,1,"(16,)",0.016799991950392723,0.01642785407602787,0.10107867419719696,0.09969231486320496,81
1_layers_32_neurons,1,"(32,)",0.007582430727779865,0.007275003474205732,0.06689204275608063,0.06547471880912781,161
1_layers_64_neurons,1,"(64,)",0.0036716328468173742,0.00328880175948143,0.04625510796904564,0.04341040924191475,321
2_layers_16_16_neurons,2,"(16, 16)",0.004619800020009279,0.004095090553164482,0.05210043489933014,0.04816680774092674,353
2_layers_16_32_neurons,2,"(16, 32)",0.00323928939178586,0.0034952517598867416,0.04367922618985176,0.04619782790541649,641
2_layers_16_64_neurons,2,"(16, 64)",0.002246793592348695,0.002908545546233654,0.03611090034246445,0.04260740801692009,1217
2_layers_32_16_neurons,2,"(32, 16)",0.0031519820913672447,0.0034088953398168087,0.04329979792237282,0.04517858102917671,673
2_layers_32_32_neurons,2,"(32, 32)",0.0022457363083958626,0.002140848431736231,0.03629356250166893,0.03567461669445038,1217
2_layers_32_64_neurons,2,"(32, 64)",0.001860093092545867,0.0016936631873250008,0.03257953003048897,0.030663354322314262,2305
2_layers_64_16_neurons,2,"(64, 16)",0.0024005493614822626,0.0024928865022957325,0.03765740990638733,0.037914346903562546,1313
2_layers_64_32_neurons,2,"(64, 32)",0.0019594551995396614,0.0017046929569914937,0.03394369035959244,0.0316048339009285,2369
2_layers_64_64_neurons,2,"(64, 64)",0.0017508463934063911,0.0013216949300840497,0.03199585899710655,0.027614589780569077,4481
3_layers_16_16_16_neurons,3,"(16, 16, 16)",0.0030884931329637766,0.0027407703455537558,0.042714718729257584,0.04030497372150421,625
3_layers_16_16_32_neurons,3,"(16, 16, 32)",0.0025979243218898773,0.003123227972537279,0.03939123451709747,0.04486755281686783,913
3_layers_16_16_64_neurons,3,"(16, 16, 64)",0.0024663626682013273,0.002290834207087755,0.03799691051244736,0.0368189699947834,1489
3_layers_16_32_16_neurons,3,"(16, 32, 16)",0.002857441548258066,0.0024488286580890417,0.040733423084020615,0.03779662027955055,1153
3_layers_16_32_32_neurons,3,"(16, 32, 32)",0.0023356338497251272,0.004390183370560408,0.036898694932460785,0.05223873257637024,1697
3_layers_16_32_64_neurons,3,"(16, 32, 64)",0.0014535828959196806,0.0017430942971259356,0.029212821274995804,0.032854679971933365,2785
3_layers_16_64_16_neurons,3,"(16, 64, 16)",0.0018970996607095003,0.0012148715322837234,0.03344422206282616,0.025631381198763847,2209
3_layers_16_64_32_neurons,3,"(16, 64, 32)",0.0015701863449066877,0.0014839782379567623,0.030512535944581032,0.029157569631934166,3265
3_layers_16_64_64_neurons,3,"(16, 64, 64)",0.0014894497580826283,0.0010596814099699259,0.02943098358809948,0.024725304916501045,5377
3_layers_32_16_16_neurons,3,"(32, 16, 16)",0.0025028283707797527,0.0022405702620744705,0.038589660078287125,0.036855991929769516,945
3_layers_32_16_32_neurons,3,"(32, 16, 32)",0.0019090782152488828,0.001924884389154613,0.03366175293922424,0.03450316563248634,1233
3_layers_32_16_64_neurons,3,"(32, 16, 64)",0.0017088060267269611,0.0016307717887684703,0.031669583171606064,0.03220142051577568,1809
3_layers_32_32_16_neurons,3,"(32, 32, 16)",0.0022703344002366066,0.0018771605100482702,0.036820318549871445,0.033145803958177567,1729
3_layers_32_32_32_neurons,3,"(32, 32, 32)",0.0014435374177992344,0.0010762724559754133,0.02910083718597889,0.02458164095878601,2273
3_layers_32_32_64_neurons,3,"(32, 32, 64)",0.0013291265349835157,0.0011436379281803966,0.027609169483184814,0.026302499696612358,3361
3_layers_32_64_16_neurons,3,"(32, 64, 16)",0.0015016605611890554,0.004203661810606718,0.029598413035273552,0.05313131958246231,3297
3_layers_32_64_32_neurons,3,"(32, 64, 32)",0.0014409379800781608,0.0013100265059620142,0.029014285653829575,0.027767134830355644,4353
3_layers_32_64_64_neurons,3,"(32, 64, 64)",0.0012047422351315618,0.0017053596675395966,0.026376308873295784,0.03313777595758438,6465
3_layers_64_16_16_neurons,3,"(64, 16, 16)",0.002233515027910471,0.0031711102928966284,0.03655490279197693,0.045721523463726044,1585
3_layers_64_16_32_neurons,3,"(64, 16, 32)",0.0021857882384210825,0.0026833468582481146,0.03557529300451279,0.04016504064202309,1873
3_layers_64_16_64_neurons,3,"(64, 16, 64)",0.0016296256799250841,0.0017382304649800062,0.03083200752735138,0.03298081457614899,2449
3_layers_64_32_16_neurons,3,"(64, 32, 16)",0.0017989336047321558,0.0017993561923503876,0.032561272382736206,0.0324600487947464,2881
3_layers_64_32_32_neurons,3,"(64, 32, 32)",0.0016347619239240885,0.002682796213775873,0.031082654371857643,0.04127056896686554,3425
3_layers_64_32_64_neurons,3,"(64, 32, 64)",0.0014499007957056165,0.0013685646699741483,0.029091237112879753,0.02899206429719925,4513
3_layers_64_64_16_neurons,3,"(64, 64, 16)",0.0014217948773875833,0.001266158651560545,0.02872222475707531,0.02739039808511734,5473
3_layers_64_64_32_neurons,3,"(64, 64, 32)",0.0012438505655154586,0.001234321272931993,0.026848966255784035,0.027572747319936752,6529
3_layers_64_64_64_neurons,3,"(64, 64, 64)",0.00124154903460294,0.0031127301044762135,0.02669341303408146,0.04465297982096672,8641
