time,nfev,m,|dmdu|,E_int
0.0,34,-0.0006056578371954604,9.63240028984339e-06,0.0002024219698492497
0.02,27,-0.0015272605974987158,2.4356567218071706e-06,0.0005111556644958403
0.04,27,-0.0026241025762801153,4.997876395531179e-06,0.0008796014934674614
0.06,25,-0.0038532587255340305,9.110569278018062e-06,0.0012935226201051754
0.08,24,-0.005191506406488274,1.7936285205843833e-06,0.0017453148371811148
0.1,23,-0.006623889222305761,2.0027125358568317e-05,0.002230084159368818
0.12000000000000001,24,-0.00813982145296941,8.891348239730343e-07,0.0027443991327595124
0.14,23,-0.009731346387692127,3.5009726156392053e-06,0.0032856688262374307
0.16,22,-0.011392227419533989,2.869072269878881e-06,0.003851941224601376
0.18,22,-0.01311742229838154,8.949386613692295e-06,0.004441581672089552
0.19999999999999998,57,-0.014902755938350172,3.4373246646483034e-05,0.005053272466755265
0.21999999999999997,60,-0.016744705774875763,3.732486228968648e-05,0.005685911274171503
0.23999999999999996,66,-0.018640252087732706,1.9382949381081967e-05,0.0063384220940211795
0.25999999999999995,68,-0.020586774030756764,2.8407294395636088e-05,0.007010457915923644
0.27999999999999997,69,-0.022581972065049638,2.7470440969235434e-05,0.007700543722757287
0.3,64,-0.024623809586197046,4.510348391028007e-05,0.008408787259271149
0.32,67,-0.026710467786280733,3.16486002008771e-05,0.009134105574695964
0.34,69,-0.02884031308930061,3.5826288565825334e-05,0.009876345281659527
0.36000000000000004,68,-0.031011863019063987,3.131019903283332e-05,0.010635104136060143
0.38000000000000006,69,-0.03322377753541346,2.1015920625787065e-05,0.011409667720938068
0.4000000000000001,75,-0.035474820786529235,3.71631297592092e-05,0.012200277553266439
0.4200000000000001,95,-0.037763872279309045,5.144050481862561e-05,0.013005266018836842
0.4400000000000001,96,-0.04008988132061779,4.994698933868726e-05,0.013826004135905337
0.46000000000000013,109,-0.04245191263876649,2.1829855320622095e-05,0.01466116051837599
0.48000000000000015,106,-0.044849032649011994,5.791860357244005e-05,0.015510749055169672
0.5000000000000001,88,-0.047280421688171495,2.9911451629494167e-05,0.016374433221101478
0.5200000000000001,111,-0.04974536745636383,2.6777398303318365e-05,0.0172526075760197
0.5400000000000001,89,-0.05224304579248025,4.293437547076927e-05,0.018144208160245024
0.5600000000000002,186,-0.05477289384314116,5.6110031274076316e-05,0.019049858771950177
0.5800000000000002,85,-0.0573341366722475,3.6977107648668274e-05,0.019968808956776395
0.6000000000000002,86,-0.059926227143668895,3.030109636826154e-05,0.02090060983896568
0.6200000000000002,109,-0.06254860387428424,1.5917260637388737e-05,0.021845807479725844
0.6400000000000002,87,-0.06520070717820785,3.2339916776639436e-05,0.02280394545922373
0.6600000000000003,104,-0.06788203477429539,8.006291230144926e-05,0.0237734593261748
0.6800000000000003,181,-0.0705922031043377,1.4720221425385158e-05,0.02475887741485538
0.7000000000000003,76,-0.07333058395943558,4.809433053777828e-05,0.02575512894010275
0.7200000000000003,81,-0.07609681086996237,2.7004080258447133e-05,0.02676344361797712
0.7400000000000003,106,-0.0788904696307385,1.6265350911787964e-05,0.027784169714998353
0.7600000000000003,72,-0.0817111411096318,4.179953446348239e-05,0.028817456184411987
0.7800000000000004,132,-0.0845585205338815,3.710084529906071e-05,0.02986333734978409
0.8000000000000004,67,-0.08743213713781971,4.8080760411458485e-05,0.030920106284238042
0.8200000000000004,110,-0.09033170021070844,1.7014507723571096e-05,0.031989224343163626
0.8400000000000004,83,-0.0932568410481942,3.969182824848793e-05,0.033070034713421174
0.8600000000000004,79,-0.09620724505471778,4.0583326634413426e-05,0.03416168516732818
0.8800000000000004,160,-0.09918274811601284,1.8998214600569015e-05,0.035268083606424874
0.9000000000000005,64,-0.10218280879816691,3.450943857357588e-05,0.03638297682142344
0.9200000000000005,69,-0.1052072609920507,3.2720866269515415e-05,0.037510142313994396
0.9400000000000005,118,-0.10825586650530908,9.637968909070275e-06,0.03864985583007228
0.9600000000000005,61,-0.11132826500573174,3.631484203248593e-05,0.039799512959037844
0.9800000000000005,120,-0.11442429843638058,1.6014262240768993e-05,0.040962023074799354
