time,nfev,nact,nhooked,trials,try_last
0.0,1,0,0,0,0
0.01,1,0,0,0,0
0.02,1,0,0,0,0
0.03,1,0,0,0,0
0.04,1,0,0,0,0
0.05,2,2,0,1,1
0.060000000000000005,5,2,2,0,5
0.07,7,3,2,1,3
0.08,7,4,3,1,3
0.09,9,4,4,0,9
0.09999999999999999,4,4,4,0,4
0.10999999999999999,4,4,4,0,4
0.11999999999999998,13,4,4,0,13
0.12999999999999998,26,5,4,1,13
0.13999999999999999,3,5,5,0,3
0.15,6,6,5,1,2
0.16,11,7,6,1,3
0.17,4,7,7,0,4
0.18000000000000002,4,7,7,0,4
0.19000000000000003,18,8,7,1,13
0.20000000000000004,5,8,8,0,5
0.21000000000000005,2,8,8,0,2
0.22000000000000006,4,8,8,0,4
0.23000000000000007,6,9,8,1,2
0.24000000000000007,6,9,9,0,6
0.25000000000000006,4,10,9,1,2
0.26000000000000006,15,10,10,2,4
0.2700000000000001,4,11,10,1,2
0.2800000000000001,5,12,11,1,3
0.2900000000000001,13,12,12,0,13
0.3000000000000001,2,12,12,0,2
0.3100000000000001,2,12,12,0,2
0.3200000000000001,2,12,12,0,2
0.3300000000000001,2,12,12,0,2
0.34000000000000014,2,12,12,0,2
0.35000000000000014,2,12,12,0,2
0.36000000000000015,2,12,12,0,2
0.37000000000000016,2,12,12,0,2
0.38000000000000017,5,13,12,1,3
0.3900000000000002,21,13,13,0,21
0.4000000000000002,17,15,13,1,13
0.4100000000000002,6,15,15,0,6
0.4200000000000002,2,15,15,0,2
0.4300000000000002,5,16,15,1,3
0.4400000000000002,11,16,16,0,11
0.45000000000000023,3,16,16,0,3
0.46000000000000024,17,14,14,1,3
0.47000000000000025,7,13,13,1,3
0.48000000000000026,8,12,12,1,3
0.49000000000000027,15,11,11,1,3
0.5000000000000002,7,10,10,1,3
0.5100000000000002,7,9,9,1,3
0.5200000000000002,14,8,8,1,5
0.5300000000000002,2,8,8,0,2
0.5400000000000003,2,8,8,0,2
0.5500000000000003,18,6,6,1,2
0.5600000000000003,3,6,6,0,3
0.5700000000000003,18,4,4,1,2
0.5800000000000003,2,4,4,0,2
0.5900000000000003,2,4,4,0,2
0.6000000000000003,12,2,2,1,2
0.6100000000000003,1,2,2,0,1
0.6200000000000003,3,2,2,0,3
0.6300000000000003,20,0,0,1,19
0.6400000000000003,1,0,0,0,19
0.6500000000000004,1,0,0,0,19
0.6600000000000004,1,0,0,0,19
0.6700000000000004,1,0,0,0,19
0.6800000000000004,1,0,0,0,19
0.6900000000000004,1,0,0,0,19
0.7000000000000004,1,0,0,0,19
0.7100000000000004,1,0,0,0,19
0.7200000000000004,1,0,0,0,19
0.7300000000000004,1,0,0,0,19
0.7400000000000004,1,0,0,0,19
0.7500000000000004,1,0,0,0,19
0.7600000000000005,1,0,0,0,19
0.7700000000000005,1,0,0,0,19
0.7800000000000005,1,0,0,0,19
0.7900000000000005,1,0,0,0,19
0.8000000000000005,1,0,0,0,19
0.8100000000000005,1,0,0,0,19
0.8200000000000005,1,0,0,0,19
0.8300000000000005,1,0,0,0,19
0.8400000000000005,1,0,0,0,19
0.8500000000000005,1,0,0,0,19
0.8600000000000005,1,0,0,0,19
0.8700000000000006,1,0,0,0,19
0.8800000000000006,1,0,0,0,19
0.8900000000000006,1,0,0,0,19
0.9000000000000006,1,0,0,0,19
0.9100000000000006,1,0,0,0,19
0.9200000000000006,1,0,0,0,19
0.9300000000000006,1,0,0,0,19
0.9400000000000006,1,0,0,0,19
0.9500000000000006,1,0,0,0,19
0.9600000000000006,1,0,0,0,19
0.9700000000000006,1,0,0,0,19
0.9800000000000006,1,0,0,0,19
0.9900000000000007,1,0,0,0,19
