time,nfev,m,|dmdu|,E_int
0.0,307,-0.0006056578562820996,3.438222709151667e-09,0.00020236249124854907
0.02,254,-0.0015272605992450545,3.6832196933024413e-09,0.0005111376510079003
0.04,222,-0.002624102580598529,4.546041390773983e-09,0.0008795833216780462
0.06,241,-0.003853258740059092,5.104504759510418e-09,0.0012935190321297363
0.08,227,-0.005191506408046382,2.1883246244301205e-09,0.001745316675667322
0.1,248,-0.006623889226157052,5.12437346155409e-09,0.002230090539496858
0.12000000000000001,163,-0.008139821453147204,8.464703340687854e-09,0.002744404068521007
0.14,212,-0.009731346393935945,9.645597582752445e-09,0.0032856890295493222
0.16,193,-0.011392227422945636,5.347437609553849e-09,0.0038519494285797983
0.18,167,-0.01311742233825466,3.225378879921637e-09,0.004441578248359025
0.19999999999999998,372,-0.014902756168789985,2.3076446795466926e-08,0.00505325491117422
0.21999999999999997,546,-0.016744705846505135,1.0759943680957174e-08,0.0056858745161136376
0.23999999999999996,7365,-0.018640252162112868,4.0537271184760826e-08,0.006338495658449627
0.25999999999999995,15229,-0.020586774314663867,3.2438703066474027e-07,0.007010303072075666
0.27999999999999997,15246,-0.02258197266258847,7.976138081577297e-08,0.007700596604849342
0.3,15383,-0.024623810531146387,4.062237358923628e-08,0.00840875119088663
0.32,15331,-0.02671046969482545,7.589133822640132e-08,0.009134206562424082
0.34,15257,-0.028840315522869808,1.0637019119237584e-07,0.009876502931876365
0.36000000000000004,15131,-0.031011869544332958,2.1013404114822207e-07,0.01063516303720131
0.38000000000000006,15096,-0.03322378686211549,6.365845959524065e-07,0.011409821143794262
0.4000000000000001,15058,-0.03547483890565375,1.5537602246168655e-06,0.0122000084757456
0.4200000000000001,15144,-0.0377638966851475,1.5872300528029035e-07,0.013005648749171442
0.4400000000000001,15195,-0.04008992010062533,1.181369567797514e-07,0.013826177298443584
0.46000000000000013,15183,-0.042451947547065876,1.0361819471478789e-07,0.01466146128864191
0.48000000000000015,15212,-0.04484908559499155,3.5033077500083633e-07,0.015511181344611127
0.5000000000000001,15241,-0.047280503152054246,4.0105371537407414e-07,0.016375169315413177
0.5200000000000001,15253,-0.049745424472409656,7.100562652428083e-07,0.017253135118426917
0.5400000000000001,15413,-0.052243122853546806,2.8120428786053803e-07,0.018144844270391664
0.5600000000000002,15374,-0.054772917123651406,1.638176497256261e-07,0.019050212964683115
0.5800000000000002,15478,-0.0573341665133703,9.008883425219682e-08,0.01996901248620496
0.6000000000000002,14931,-0.059926267209336,4.096890738826315e-08,0.020901075879264267
0.6200000000000002,15460,-0.06254864923457717,1.4164088380449838e-07,0.021846244640536697
0.6400000000000002,15476,-0.06520077347678939,5.346168762530556e-08,0.022804378887827645
0.6600000000000003,10499,-0.0678821291325673,9.900497119625211e-09,0.02377533197082936
0.6800000000000003,10112,-0.07059223144370547,1.4059007968267168e-08,0.02475897259300266
0.7000000000000003,5095,-0.07333061966327624,4.939634983356705e-08,0.025755172645785376
0.7200000000000003,7635,-0.07609685523178314,9.675089767001707e-09,0.026763819955541203
0.7400000000000003,6626,-0.07889052011755357,1.6956386744916866e-08,0.02778478840261741
0.7600000000000003,6396,-0.08171121534564182,1.7662455280278344e-08,0.028817976881689113
0.7800000000000004,10463,-0.08455855964328643,4.251575139114487e-08,0.02986327560407623
0.8000000000000004,9139,-0.08743218821599333,1.3899167843897788e-08,0.03092058259278404
0.8200000000000004,11324,-0.09033175163169926,3.903496102756073e-08,0.03198980524541969
0.8400000000000004,8078,-0.09325691480700357,2.1778551473830196e-08,0.03307084217266142
0.8600000000000004,9732,-0.09620735607693164,3.507834649085132e-08,0.034163598661523534
0.8800000000000004,7481,-0.09918276633356332,4.907823507195887e-08,0.0352679943976319
0.9000000000000005,7239,-0.10218284825724391,2.1664844638220104e-08,0.03638393830133146
0.9200000000000005,7525,-0.10520731557551405,2.198238075794552e-08,0.037511344346728696
0.9400000000000005,7331,-0.1082558924139552,1.7196718764221833e-08,0.03865012943381951
0.9600000000000005,9541,-0.11132831267593436,2.3897999945838553e-08,0.039800211486854795
0.9800000000000005,7210,-0.11442431946045425,3.369209104768858e-08,0.04096151122829361
