loss,mae,val_loss,val_mae
0.05910779908299446,0.1657426357269287,0.00675940653309226,0.06421269476413727
0.005047295708209276,0.05533641204237938,0.00419875793159008,0.051738958805799484
0.0035575416404753923,0.046596504747867584,0.002793083433061838,0.041451163589954376
0.0029789104592055082,0.04246388375759125,0.0024928280618041754,0.03853444382548332
0.002673120703548193,0.0402538925409317,0.003131875302642584,0.04489040747284889
0.0023380869533866644,0.03744012489914894,0.001998279709368944,0.03427013382315636
0.0021982656326144934,0.03624230623245239,0.0017035225173458457,0.03147654980421066
0.0021242520306259394,0.035629358142614365,0.001870123203843832,0.032893769443035126
0.0019360650330781937,0.03386818245053291,0.0017488450976088643,0.032342687249183655
0.0018712040036916733,0.03331254795193672,0.001924763317219913,0.0340266190469265
