time,nfev,m,|dmdu|,E_int
0.0,1640,5.35617893221927e-08,1.88668999555576e-05,5.35617893221927e-08
0.02,1529,5.016211238938092e-08,9.957082920822665e-06,5.016211238938092e-08
0.04,1492,4.024050409169168e-07,3.961199640707352e-05,4.024050409169168e-07
0.06,1542,3.2271513883966695e-07,3.196365176254785e-05,3.2271513883966695e-07
0.08,1488,5.352085769520046e-07,5.4819873020762905e-05,5.352085769520046e-07
0.1,1483,3.30049950272526e-07,0.0001743801872876804,3.30049950272526e-07
0.12000000000000001,1540,2.745357653832314e-07,2.184780334027901e-05,2.745357653832314e-07
0.14,1534,2.0793729035245164e-07,3.2603400585372354e-05,2.0793729035245164e-07
0.16,1485,2.530433426275977e-08,1.1501727061712289e-05,2.530433426275977e-08
0.18,1486,1.8502663844635305e-07,3.2174128891808014e-05,1.8502663844635305e-07
0.19999999999999998,1488,1.5830385724265654e-07,1.641411303703045e-05,1.5830385724265654e-07
0.21999999999999997,1506,2.8451967573327584e-07,1.3152037707218253e-05,2.8451967573327584e-07
0.23999999999999996,1497,4.1756503115787786e-07,0.00015781826216582412,4.1756503115787786e-07
0.25999999999999995,1504,4.004393832248109e-07,2.5697082778233603e-05,4.004393832248109e-07
0.27999999999999997,1491,2.908015458731392e-07,2.9778948894035878e-05,2.908015458731392e-07
0.3,1500,3.2428071101472273e-07,6.860220948068484e-05,3.2428071101472273e-07
0.32,1522,2.6598553173865604e-07,3.0446364004883326e-05,2.6598553173865604e-07
0.34,1512,3.171158359339742e-07,6.106304182654285e-05,3.171158359339742e-07
0.36000000000000004,1513,3.0908584391440635e-07,3.281699084177568e-05,3.0908584391440635e-07
0.38000000000000006,1486,6.776575531969464e-07,8.388653782346846e-05,6.776575531969464e-07
0.4000000000000001,1559,1.1626931305913246e-07,1.539472954011447e-05,1.1626931305913246e-07
0.4200000000000001,1522,9.54265959809092e-08,1.641871794631556e-05,9.54265959809092e-08
0.4400000000000001,1466,1.5352737189633439e-07,4.2211456685251864e-05,1.5352737189633439e-07
0.46000000000000013,1513,3.1438540866897076e-07,5.637811244598104e-05,3.1438540866897076e-07
0.48000000000000015,1509,2.416718678892735e-07,2.6714107346927e-05,2.416718678892735e-07
0.5000000000000001,1556,1.3950034736316708e-07,1.587434358209477e-05,1.3950034736316708e-07
0.5200000000000001,1515,4.875595379515394e-08,1.1790362193445402e-05,4.875595379515394e-08
0.5400000000000001,1500,1.3372762413599241e-07,2.6125876489071092e-05,1.3372762413599241e-07
0.5600000000000002,1578,5.7973463954157175e-08,1.292484288693382e-05,5.7973463954157175e-08
0.5800000000000002,1506,3.174900840413574e-08,1.0870382852366132e-05,3.174900840413574e-08
0.6000000000000002,1479,2.220843151740578e-07,3.537774686255453e-05,2.220843151740578e-07
0.6200000000000002,1481,3.432224080023749e-07,0.0001397298909596902,3.432224080023749e-07
0.6400000000000002,1523,4.355280407384245e-07,2.8678752206666325e-05,4.355280407384245e-07
0.6600000000000003,1513,6.640882947293244e-07,5.144687055757101e-05,6.640882947293244e-07
0.6800000000000003,1468,7.306452546546393e-07,3.7033598486114314e-05,7.306452546546393e-07
0.7000000000000003,1548,2.5811386462607325e-07,3.8398706423838074e-05,2.5811386462607325e-07
0.7200000000000003,1541,4.1348140308437536e-07,4.331256573028895e-05,4.1348140308437536e-07
0.7400000000000003,1528,3.327949347118538e-08,8.441762228389158e-06,3.327949347118538e-08
0.7600000000000003,1497,3.4135467992326565e-07,2.5418669494673827e-05,3.4135467992326565e-07
0.7800000000000004,1499,6.397027594658295e-07,3.0478064281472366e-05,6.397027594658295e-07
0.8000000000000004,1564,2.896787608836036e-07,1.984784755699591e-05,2.896787608836036e-07
0.8200000000000004,1547,2.79253362125111e-07,2.9730075571297523e-05,2.79253362125111e-07
0.8400000000000004,1560,5.366318409261496e-08,1.1574429281458989e-05,5.366318409261496e-08
0.8600000000000004,1490,3.47918967473174e-07,4.278925117602404e-05,3.47918967473174e-07
0.8800000000000004,1529,6.54570840765044e-08,2.1923152878565964e-05,6.54570840765044e-08
0.9000000000000005,1498,1.8488795668928908e-07,1.9124532814891476e-05,1.8488795668928908e-07
0.9200000000000005,1437,6.917691714867221e-07,7.435245054842693e-05,6.917691714867221e-07
0.9400000000000005,1484,5.442116721262434e-07,6.906914188718908e-05,5.442116721262434e-07
0.9600000000000005,1518,1.2653819755805203e-07,2.4218956496961006e-05,1.2653819755805203e-07
0.9800000000000005,1524,5.08449404664066e-07,2.426930641787164e-05,5.08449404664066e-07
