loss,mae,val_loss,val_mae
0.034027598798274994,0.11080422252416611,0.002771353581920266,0.040848035365343094
0.002727803075686097,0.04066484421491623,0.002409326145425439,0.039314575493335724
0.0021433020010590553,0.03607393801212311,0.0012834693770855665,0.027793793007731438
0.00169092055875808,0.03199635446071625,0.001315136207267642,0.028981009498238564
0.0014458228833973408,0.02966146543622017,0.0017857687780633569,0.03126668930053711
0.001302601071074605,0.02807062305510044,0.0009655539761297405,0.024058053269982338
0.0012304120464250445,0.026983842253684998,0.0015029858332127333,0.03181256353855133
0.0012010671198368073,0.026439080014824867,0.0016589550068601966,0.03282355144619942
0.0009634921443648636,0.024186255410313606,0.0005565806641243398,0.017891820520162582
0.0009679619688540697,0.024072427302598953,0.0006647381815128028,0.020119769498705864
