0.01,0,,7.89213579283546E-18,,,,,,,,,,,,
0.02,0,1,1.14417357335721E-17,,,,,,,,,,,,
0.03,0,1,1.61133949387017E-17,,,,,,,,,,,,
0.04,0,1,1.78782523958007E-17,,,,,,,,,,,,
0.05,0,1,2.37952803956663E-17,,,,,,,,,,,,
0.06,0,1,2.28028987279411E-17,,,,,,,,,,,,
0.07,0,1,3.59537133983642E-17,,,,,,,,,,,,
0.08,0,1,3.47950031441402E-17,,,,,,,,,,,,
0.09,0,1,2.88244577356756E-17,,,,,,,,,,,,
0.1,0,1,3.37370747991611E-17,,,,,,,,,,,,
0.1,0,1,0.167081576392534,,,,,,,,,,,,
,1,,6.6689212750821E-05,,,,,,,,,,,,
,2,,7.15096561455668E-05,,,,,,,,,,,,
,3,,3.76935840266354E-10,,,,,,,,,,,,
,4,,8.55896815039824E-15,,,,,,,,,,,,
0.11,0,5,0.00511880001279,37: out,,,,,,,,,,,
,1,,2.55809569720805E-05,,,,,,,,,,,,
,2,,7.81661394402383E-06,,,,,,,,,,,,
,3,,6.90991259464855E-11,,,,,,,,,,,,
0.12,0,4,0.008387326387929,37: out,,,,,,,,,,,
,1,,4.58946026885685E-05,,,,,,,,,,,,
,2,,6.37021082116289E-05,,,,,,,,,,,,
,3,,4.11816106421785E-09,,,,,,,,,,,,
,4,,3.73056747896507E-13,,,,,,,,,,,,
0.13,0,5,0.017509234888258,37: out,,,,,,,,,,,
,1,,8.46420932168388E-05,,,,,,,,,,,,
,2,,0.001206323475357,,,,,,,,,,,,
,3,,1.37067501947762E-06,,,,,,,,,,,,
,4,,1.90583415441399E-07,,,,,,,,,,,,
,5,,1.18671610262779E-13,,,,,,,,,,,,
0.13,0,6,0.074569052879852,,,,,,,,,,,,
,1,,0.000102852443966,,,,,,,,,,,,
,2,,0.000132962147485,,,,,,,,,,,,
,3,,1.56147685049782E-08,,,,,,,,,,,,
,4,,7.80370010254055E-12,,,,,,,,,,,,
0.14,0,5,0.094308209584983,37: 66-->91out,38: out,,,,,,,,,,
,1,,7.4113225109583E-05,,,,,,,,,,,,
,2,,0.000477018903641,,,,,,,,,,,,
,3,,1.32037698622659E-07,,,,,,,,,,,,
,4,,9.64737952665622E-10,,,,,,,,,,,,
,5,,3.01562495824614E-15,,,,,,,,,,,,
0.15,0,6,0.054553904817999,37: out,38: out,,,,,,,,,,
,1,,9.61830589221311E-05,,,,,,,,,,,,
,2,,0.000313566595029,,,,,,,,,,,,
,3,,1.23401421370532E-07,,,,,,,,,,,,
,4,,1.86169985364526E-10,,,,,,,,,,,,
,5,,1.08989023501073E-15,,,,,,,,,,,,
0.16,0,6,0.027958732248244,37: out,38: out,,,,,,,,,,
,1,,4.15394911416707E-05,,,,,,,,,,,,
,2,,4.18548445535719E-05,,,,,,,,,,,,
,3,,1.46225154782761E-09,,,,,,,,,,,,
,4,,2.14650077324246E-14,,,,,,,,,,,,
0.17,0,5,0.017224164018627,37: out,38: out,,,,,,,,,,
,1,,2.07749095998779E-05,,,,,,,,,,,,
,2,,8.50614870878614E-06,,,,,,,,,,,,
,3,,4.24941596298785E-11,,,,,,,,,,,,
0.18,0,4,0.011416047139524,37: out,38: out,,,,,,,,,,
,1,,1.12514918048423E-05,,,,,,,,,,,,
,2,,2.08588965145857E-06,,,,,,,,,,,,
,3,,2.08304161592806E-12,,,,,,,,,,,,
0.18,0,4,0.106490518218412,,,,,,,,,,,,
,1,,0.000156930839014,,,,,,,,,,,,
,2,,0.000129720951544,,,,,,,,,,,,
,3,,2.03601255984979E-10,,,,,,,,,,,,
,4,,1.54678525447271E-15,,,,,,,,,,,,
0.19,0,5,0.008943988567624,36: out,37: out,38: out,,,,,,,,,
