loss,mae,val_loss,val_mae
0.06353075057268143,0.1853676289319992,0.013265471905469894,0.08975063264369965
0.010472417809069157,0.07967465370893478,0.00827527604997158,0.07011105865240097
0.007513751741498709,0.06710871309041977,0.006263714749366045,0.060572996735572815
0.00608949176967144,0.06010301411151886,0.005147878546267748,0.05485055223107338
0.005272680893540382,0.05581051483750343,0.0046716914512217045,0.05205107107758522
0.004611099138855934,0.052187759429216385,0.004353152588009834,0.05102803185582161
0.004066531080752611,0.0491299033164978,0.0037660058587789536,0.047595035284757614
0.0036231791600584984,0.046341557055711746,0.003387942910194397,0.04574177786707878
0.0034182642120867968,0.045120228081941605,0.0033855324145406485,0.04498566314578056
0.0032817679457366467,0.044326428323984146,0.0036337249912321568,0.047881245613098145
