time,nfev,m,|dmdu|,E_int
0.0,436,6.207250274353626e-08,4.4458657307892543e-05,6.207250274353626e-08
0.02,917,1.5133313551602932e-07,5.2019729081760443e-05,1.5133313551602932e-07
0.04,930,2.1012092470184467e-07,6.191986519057205e-05,2.1012092470184467e-07
0.06,657,6.060252992684834e-07,8.524239271883912e-05,6.060252992684834e-07
0.08,802,5.422176974219775e-07,0.0001553478535784724,5.422176974219775e-07
0.1,1037,7.007630954459434e-08,4.732834913842929e-05,7.007630954459434e-08
0.12000000000000001,492,4.000180861750699e-07,5.5416108672908515e-05,4.000180861750699e-07
0.14,954,3.232210033799142e-07,5.4485623979984975e-05,3.232210033799142e-07
0.16,1152,7.772888424815107e-08,9.33773031890026e-05,7.772888424815107e-08
0.18,646,2.569037212986123e-07,5.322068664119512e-05,2.569037212986123e-07
0.19999999999999998,823,4.319125524899403e-07,0.000118677311913537,4.319125524899403e-07
0.21999999999999997,1084,1.0508012695735469e-07,3.5834528058430014e-05,1.0508012695735469e-07
0.23999999999999996,153,6.703609545977189e-07,0.00026651620837712096,6.703609545977189e-07
0.25999999999999995,1290,8.872182187109229e-08,4.455071698615122e-05,8.872182187109229e-08
0.27999999999999997,257,4.993845031820326e-07,7.900764774652928e-05,4.993845031820326e-07
0.3,560,1.1018066373434213e-06,0.00013300172829890553,1.1018066373434213e-06
0.32,1078,2.3131982847874916e-07,8.097474912818889e-05,2.3131982847874916e-07
0.34,448,6.447162738643017e-07,0.00011280682653343836,6.447162738643017e-07
0.36000000000000004,890,3.4923109838376233e-07,7.486154056919199e-05,3.4923109838376233e-07
0.38000000000000006,710,5.462891026226764e-07,0.00014272539745568437,5.462891026226764e-07
0.4000000000000001,903,2.3420888003115137e-07,7.972097713128013e-05,2.3420888003115137e-07
0.4200000000000001,113,9.768601359871862e-07,0.00011026258556862361,9.768601359871862e-07
0.4400000000000001,1111,1.2247098338248287e-07,4.8174665872568235e-05,1.2247098338248287e-07
0.46000000000000013,305,4.930201758908034e-07,0.00012426021077605962,4.930201758908034e-07
0.48000000000000015,890,3.552111640631388e-07,0.0001251104280501203,3.552111640631388e-07
0.5000000000000001,838,3.518016501827382e-07,0.00032511838943556566,3.518016501827382e-07
0.5200000000000001,1002,2.060310295427965e-07,5.661340751859962e-05,2.060310295427965e-07
0.5400000000000001,604,5.020937766335891e-07,7.142676102433761e-05,5.020937766335891e-07
0.5600000000000002,914,3.1068466391231087e-07,4.608158144363052e-05,3.1068466391231087e-07
0.5800000000000002,461,8.592281784656358e-07,7.922785911385106e-05,8.592281784656358e-07
0.6000000000000002,921,3.1273867047982937e-07,8.83244664974977e-05,3.1273867047982937e-07
0.6200000000000002,327,9.287126884993516e-07,8.294608386975878e-05,9.287126884993516e-07
0.6400000000000002,1036,2.2055686646397222e-07,7.73378156955016e-05,2.2055686646397222e-07
0.6600000000000003,499,6.618669517919027e-07,8.333829607351635e-05,6.618669517919027e-07
0.6800000000000003,1201,1.3360633463055878e-07,4.9932598921228756e-05,1.3360633463055878e-07
0.7000000000000003,606,3.309049916470933e-07,5.600991109301633e-05,3.309049916470933e-07
0.7200000000000003,1123,1.0220247419532534e-07,4.8935386370832475e-05,1.0220247419532534e-07
0.7400000000000003,335,5.761125946352476e-07,0.000100987889335981,5.761125946352476e-07
0.7600000000000003,818,5.574366007321946e-07,0.00011077618349023651,5.574366007321946e-07
0.7800000000000004,1175,1.061303745191151e-07,4.593182649441366e-05,1.061303745191151e-07
0.8000000000000004,250,6.097612572706796e-07,0.0001350708983656771,6.097612572706796e-07
0.8200000000000004,1209,1.0473792385204989e-07,5.062175799004576e-05,1.0473792385204989e-07
0.8400000000000004,655,2.8640923914155104e-07,8.195616519163484e-05,2.8640923914155104e-07
0.8600000000000004,1182,9.644364505182073e-08,5.371086451489952e-05,9.644364505182073e-08
0.8800000000000004,312,5.097412389516062e-07,0.0001221070862326975,5.097412389516062e-07
0.9000000000000005,1129,1.4566814123913007e-07,6.220459787941707e-05,1.4566814123913007e-07
0.9200000000000005,310,5.747704259258072e-07,6.75073906960615e-05,5.747704259258072e-07
0.9400000000000005,1209,8.878406886533846e-08,3.010035556718646e-05,8.878406886533846e-08
0.9600000000000005,376,3.721010081913529e-07,7.144721886250351e-05,3.721010081913529e-07
0.9800000000000005,1037,2.209977581734612e-07,0.0001353426939133639,2.209977581734612e-07
